id,nome,especie_id,peso,altura
1,bulbasaur,1,7,69
2,ivysaur,2,10,130
3,venusaur,3,20,1000
4,charmander,4,6,85
5,charmeleon,5,11,190
6,charizard,6,17,905
7,squirtle,7,5,90,
8,wartortle,8,10,225
9,blastoise,9,16,855
10,caterpie,10,3,29
11,metapod,11,7,99
12,butterfree,12,11,320
13,weedle,13,3,32
14,kakuna,14,6,100
15,beedrill,15,10,295
16,pidgey,16,3,18
17,pidgeotto,17,11,300
18,pidgeot,18,15,395
19,rattata,19,3,35
20,raticate,20,7,185
21,spearow,21,3,20
22,fearow,22,12,380
23,ekans,23,20,69
24,arbok,24,35,650
25,pikachu,25,4,60
26,raichu,26,8,300
27,sandshrew,27,6,120
28,sandslash,28,10,295
29,nidoran-f,29,4,70
30,nidorina,30,8,200
31,nidoqueen,31,13,600
32,nidoran-m,32,5,90
33,nidorino,33,9,195
34,nidoking,34,14,620
35,clefairy,35,6,75
36,clefable,36,13,400
37,vulpix,37,6,99
38,ninetales,38,11,199
39,jigglypuff,39,5,55
40,wigglytuff,40,10,120
41,zubat,41,8,75
42,golbat,42,16,550
43,oddish,43,5,54
44,gloom,44,8,86
45,vileplume,45,12,186
46,paras,46,3,54
47,parasect,47,10,295
48,venonat,48,10,300
49,venomoth,49,15,125
50,diglett,50,2,8
51,dugtrio,51,7,333
52,meowth,52,4,42
53,persian,53,10,320
54,psyduck,54,8,196
55,golduck,55,17,766
56,mankey,56,5,280
57,primeape,57,10,320
58,growlithe,58,7,190
59,arcanine,59,19,1550
60,poliwag,60,6,124
61,poliwhirl,61,10,200
62,poliwrath,62,13,540
63,abra,63,9,195
64,kadabra,64,13,565
65,alakazam,65,15,480
66,machop,66,8,195
67,machoke,67,15,705
68,machamp,68,16,1300
69,bellsprout,69,7,40
70,weepinbell,70,10,64
71,victreebel,71,17,155
72,tentacool,72,9,455
73,tentacruel,73,16,550
74,geodude,74,4,200
75,graveler,75,10,1050
76,golem,76,14,3000
77,ponyta,77,10,300
78,rapidash,78,17,950
79,slowpoke,79,12,360
80,slowbro,80,16,785
81,magnemite,81,3,60
82,magneton,82,10,600
83,farfetchd,83,8,150
84,doduo,84,14,392
85,dodrio,85,18,852
86,seel,86,11,900
87,dewgong,87,17,1200
88,grimer,88,9,300
89,muk,89,12,300
90,shellder,90,3,40
91,cloyster,91,15,1325
92,gastly,92,13,1
93,haunter,93,16,1
94,gengar,94,15,405
95,onix,95,88,2100
96,drowzee,96,10,324
97,hypno,97,16,756
98,krabby,98,4,65
99,kingler,99,13,600
100,voltorb,100,5,104
101,electrode,101,12,666
102,exeggcute,102,4,25
103,exeggutor,103,20,1200
104,cubone,104,4,65
105,marowak,105,10,450
106,hitmonlee,106,15,498
107,hitmonchan,107,14,502
108,lickitung,108,12,655
109,koffing,109,6,10
110,weezing,110,12,95
111,rhyhorn,111,10,1150
112,rhydon,112,19,1200
113,chansey,113,11,346
114,tangela,114,10,350
115,kangaskhan,115,22,800
116,horsea,116,4,80,
117,seadra,117,12,250
118,goldeen,118,6,150
119,seaking,119,13,390
120,staryu,120,8,345
121,starmie,121,11,800
122,mr-mime,122,13,545
123,scyther,123,15,560
124,jynx,124,14,406
125,electabuzz,125,11,300
126,magmar,126,13,445
127,pinsir,127,15,550
128,tauros,128,14,884
129,magikarp,129,9,100
130,gyarados,130,65,2350
131,lapras,131,25,2200
132,ditto,132,3,40
133,eevee,133,3,65
134,vaporeon,134,10,290
135,jolteon,135,8,245
136,flareon,136,9,250
137,porygon,137,8,365
138,omanyte,138,4,75
139,omastar,139,10,350
140,kabuto,140,5,115
141,kabutops,141,13,405
142,aerodactyl,142,18,590
143,snorlax,143,21,4600
144,articuno,144,17,554
145,zapdos,145,16,526
146,moltres,146,20,600
147,dratini,147,18,33
148,dragonair,148,40,165
149,dragonite,149,22,2100
150,mewtwo,150,20,1220
